id,name,number,longitude,latitude
209,Canal,201,-3.7038333,40.4386944
210,Parque Santander,202,-3.7080833,40.4411388
211,San Francisco de Sales,203,-3.7144722,40.44175
212,Cuatro Caminos 2,204,-3.7041666,40.4476666
213,Estrecho,205,-3.7032777,40.4535
214,Metro Tetuán,206,-3.6989925,40.4607502
215,Remonta,207,-3.6973333,40.4630277
216,Plaza de Castilla,208,-3.6886388,40.4663611
217,Plaza de Castilla 2,209,-3.6887722,40.4656779
218,Tres Cruces,210,-3.7026735,40.419674
219,Desengaño,211,-3.70239,40.42059
220,Marqués de Vadillo,212,-3.716591,40.398247
221,Glorieta de Cádiz,213,-3.70017,40.38895
222,Condesa de Venadito,214,-3.65741,40.44315
223,Gutierre de Cetina,215,-3.640994,40.429706
224,Puerta del Ángel,216,-3.728318,40.413764
225,Pedro Rico,217,-3.688463,40.481086
226,Camino Vinateros,218,-3.65779,40.41053
227,Marroquina,219,-3.646697,40.408264
228,Plaza del Encuentro,220,-3.65122,40.40617
229,Pavones,221,-3.634587,40.400368
230,Antonio López,222,-3.7026789,40.3917871
231,Ermita Santo,223,-3.7244893989507686,40.406837862773465 
232,Caramuel,224,-3.728533714316331,40.40913630273305
233,Doctor Lozano,225,-3.660188083470652,40.40248333540473
234,Sierra Toledana,226,-3.6607768678037744,40.39901531507069
236,Concordia,227,-3.6659362429356372,40.39382977920336
235,San Delfín,228,-3.7080429728445563,40.39440607959559
237,C.D. Concepción,229,-3.64835857929032,40.43715089959262
238,Carlota O’Neill,230,-3.648958444298144,40.44370542379883
239,Derechos Humanos,231,-3.6557656204708775,40.43965673033275
240,José María Pereda,232,-3.6485306152875148,40.43272086245887
241,Marqués de Corbera 12,233,-3.6555552857442697,40.422962108947424
242,Marqués de Corbera 52,234,-3.651034981803642,40.426207143200884
243,Embajadores 191,235,-3.6903589643353483,40.389258643579105
244,Paseo Imperial,236,-3.7172213778842007,40.40765396169372
245,Pablo Iglesias,237,-3.710525,40.451333
246,San Germán 5,238,-3.6929376751795306,40.45619382579544
247,Francos Rodríguez,239,-3.708002730875242,40.45673408797698
248,Avenida Brasilia,240,-3.66096,40.43666
249,Camilo José Cela,241,-3.66779,40.4378
250,Avenida Bruselas,242,-3.66301,40.43865
251,Cartagena,243,-3.67012,40.43503
252,Hospital Clínico,244,-3.71757,40.44003
253,Galileo,245,-3.71019,40.4364
254,Santa Engracia 87,246,-3.69928,40.43604
270,Zurbano,247,-3.69281,40.43837
256,Torre Cepsa,248,-3.68797,40.47435
257,Manuel Caldeiro,249,-3.68532,40.47938
258,Serrano 113,250,-3.68609,40.44106
259,Corazón de María,251,-3.66683,40.44421
260,Chamartín,252,-3.68391,40.4716
261,Doctor Fleming,253,-3.68844,40.45546
262,Pío XII,254,-3.67712,40.46041
263,López Pozas,255,-3.68514,40.46361
264,Reina Victoria,256,-3.71383,40.44635
265,INEF,257,-3.72997,40.43896
266,Ciudad Universitaria 1,258,-3.72699,40.44375
267,Ciudad Universitaria 2,259,-3.72693,40.44342
268,Facultad Biología,260,-3.7272945,40.4483322
269,Facultad Derecho,261,-3.72937,40.45109
